Principio Attivo;Descrizione Gruppo Equivalenza;Denominazione e Confezione;Prezzo al pubblico €;Prezzo Ex-factory €;Prezzo massimo di cessione €;Titolare AIC;"Codice 
AIC";Codice Gruppo Equivalenza;Metri cubi ossigeno ;;;;;;;;;;;;;;;;
Abacavir/lamivudina;ABACAVIR+LAMIVUDINA 600+300MG 30 UNITA' USO ORALE;KIVEXA*30 cpr riv 600 mg + 300 mg;567,56;343,89;-;VIIV HEALTHCARE BV;036644019;AAD;;;;;;;;;;;;;;;;;
Abacavir/lamivudina/zidovudina;ABACAVIR+LAMIVUDINA+ZIDOVUDINA 300+150+300MG 60 UNITA' USO ORALE;ABACAVIR LAMIVUDINA ZIDOVUDINA*60x1 cpr riv 300 mg + 150 mg + 300 mg;593,43;359,57;-;MYLAN SpA;042645046;AAE;;;;;;;;;;;;;;;;;
Abacavir/lamivudina/zidovudina;ABACAVIR+LAMIVUDINA+ZIDOVUDINA 300+150+300MG 60 UNITA' USO ORALE;TRIZIVIR*60 cpr riv 300 mg + 150 mg + 300 mg;751,17;455,15;-;VIIV HEALTHCARE BV;034947046;AAE;;;;;;;;;;;;;;;;;
Abatacept;ABATACEPT 250MG 3 UNITA' USO PARENTERALE;ORENCIA*3 flaconcini EV 250 mg polv + 3 siringhe;1.777,99;1.077,30;-;BRISTOL M.SQUIBB PHARMA EEIG;037989035;AAF;;;;;;;;;;;;;;;;;
Abatacept;ABATACEPT 125MG 4 UNITA' USO PARENTERALE;ORENCIA*4 penne preriemp clickject SC 125 mg 1 ml;1.599,23;969,00;-;BRISTOL M.SQUIBB PHARMA EEIG;037989112;AAM;;;;;;;;;;;;;;;;;
Abatacept;ABATACEPT 125MG 4 UNITA' USO PARENTERALE;ORENCIA*4 siringhe SC 125 mg 1 ml;1.599,25;969,00;-;BRISTOL M.SQUIBB PHARMA EEIG;037989086;AAM;;;;;;;;;;;;;;;;;
Abciximab;ABCIXIMAB 10MG 5ML 1 UNITA' USO PARENTERALE;REOPRO*1 fiala EV 10 mg 5 ml;509,94;231,79;-;JANSSEN BIOLOGICS B.V.;031849019;AAG;;;;;;;;;;;;;;;;;
Abemaciclib;ABEMACICLIB 100MG 28 UNITA' USO ORALE;VERZENIOS*28 cpr riv 100 mg;2.970,73;1.800,00;-;ELI LILLY NEDERLAND BV;047091121;KRK;;;;;;;;;;;;;;;;;
Abemaciclib;ABEMACICLIB 150MG 28 UNITA' USO ORALE;VERZENIOS*28 cpr riv 150 mg;2.970,73;1.800,00;-;ELI LILLY NEDERLAND BV;047091145;KRL;;;;;;;;;;;;;;;;;
Abemaciclib;ABEMACICLIB 50MG 28 UNITA' USO ORALE;VERZENIOS*28 cpr riv 50 mg;2.970,73;1.800,00;-;ELI LILLY NEDERLAND BV;047091107;KRM;;;;;;;;;;;;;;;;;
Abiraterone;ABIRATERONE 250MG 120 UNITA' USO ORALE;ZYTIGA*120 compresse 250 mg flacone;5.734,49;3.474,63;-;JANSSEN CILAG INTERNAT.N.V.;041427016;AAH;;;;;;;;;;;;;;;;;
Abiraterone;ABIRATERONE 500MG 56 UNITA' USO ORALE;ZYTIGA*56 compresse 500 mg;5.352,21;3.242,98;-;JANSSEN CILAG INTERNAT.N.V.;041427028;KII;;;;;;;;;;;;;;;;;
Aciclovir;ACICLOVIR 250MG 10 UNITA' USO PARENTERALE;ACICLOVIR*10 flaconcini polv soluz infus 250 mg;67,03;40,61;-;HIKMA FARMACEUTICA S.A.;043130032;JXL;;;;;;;;;;;;;;;;;
Aciclovir;ACICLOVIR 250MG 5 UNITA' USO PARENTERALE;CYCLOVIRAN*5 fiale EV 250 mg;61,99;28,18;-;ALFASIGMA SpA;025299140;26I;;;;;;;;;;;;;;;;;
Aciclovir;ACICLOVIR 250MG 5 UNITA' USO PARENTERALE;ZOVIRAX*5 fiale 250 mg;61,99;28,18;-;GLAXOSMITHKLINE SpA;025298148;26I;;;;;;;;;;;;;;;;;
Acido aminolevulinico;ACIDO AMINOLEVULINICO 8MG 4 CEROTTI USO TOPICO;ALACARE*4 cerotti medicati 8 mg;231,94;140,53;-;PHOTONAMIC GMBH & Co.KG;039701014;KCV;;;;;;;;;;;;;;;;;
Acido colico;ACIDO COLICO 250MG 30 UNITA' USO ORALE;ORPHACOL*30 cps 250 mg;13.912,86;8.430,00;-;LABORATOIRES CTRS;043028048;JVI;;;;;;;;;;;;;;;;;
Acido colico;ACIDO COLICO 50MG 30 UNITA' USO ORALE;ORPHACOL*30 cps 50 mg;4.010,47;2.430,00;-;LABORATOIRES CTRS;043028012;JVG;;;;;;;;;;;;;;;;;
Acido diatrizoico;ACIDO DIATRIZOICO 370MG IODIO/ML 100ML USO ORALE O RETTALE;GASTROGRAFIN*soluz orale rett 100 ml 370 mg iodio/ml;13,26;8,04;-;BAYER SpA;023085020;AAJ;;;;;;;;;;;;;;;;;
Acido gadopentetico;ACIDO GADOPENTETICO 37,6MG 20ML 1 UNITA' USO INTRARTICOLARE;MAGNEVIST*1 siringa IA 37,6 mg 20 ml;49,15;29,78;-;BAYER AG;027074107;AAK;;;;;;;;;;;;;;;;;
Acido levofolinico;ACIDO LEVOFOLINICO 200MG 4ML 1 UNITA' USO PARENTERALE;SODIO LEVOFOLINATO*1 flaconcino 4 ml 50 mg/ml;26,73;16,20;-;MEDAC GMBH;042013021;ABM;;;;;;;;;;;;;;;;;
Acido levofolinico;ACIDO LEVOFOLINICO 450MG 9ML 1 UNITA' USO PARENTERALE;SODIO LEVOFOLINATO*1 flaconcino 9 ml 50 mg/ml;60,15;36,44;-;MEDAC GMBH;042013033;ABN;;;;;;;;;;;;;;;;;
Acido neridronico;ACIDO NERIDRONICO 100MG 2 UNITA' USO PARENTERALE;NERIXIA*2 fiale EV 100 mg;100,00;60,58;-;ABIOGEN PHARMA SpA;035268022;BKR;;;;;;;;;;;;;;;;;
Acido obeticolico;ACIDO OBETICOLICO 10MG 30 UNITA' USO ORALE;OCALIVA*30 cpr riv 10 mg flacone;4.558,23;2.761,90;-;INTERCEPT PHARMA INT. LTD;045222027;KDP;;;;;;;;;;;;;;;;;
Acido obeticolico;ACIDO OBETICOLICO 5MG 30 UNITA' USO ORALE;OCALIVA*30 cpr riv 5 mg flacone;4.558,23;2.761,90;-;INTERCEPT PHARMA INT. LTD;045222015;KDO;;;;;;;;;;;;;;;;;
Acido pamidronico;ACIDO PAMIDRONICO 60MG 10ML 1 UNITA' USO PARENTERALE;PAMIDRONATO DISODICO*1 flacone 10 ml 60 mg/10 ml;177,56;80,71;-;HIKMA ITALIA SpA;035744034;ABU;;;;;;;;;;;;;;;;;
Acido pamidronico;ACIDO PAMIDRONICO 90MG 10ML 1 UNITA' USO PARENTERALE;PAMIDRONATO DISODICO*1 flacone 10 ml 90 mg/10 ml;268,26;121,93;-;HIKMA ITALIA SpA;035744046;ABW;;;;;;;;;;;;;;;;;
Acido pamidronico;ACIDO PAMIDRONICO 30MG 10ML 2 UNITA' USO PARENTERALE;PAMIDRONATO DISODICO*2 flaconi 10 ml 30 mg/10 ml;183,85;83,57;-;HIKMA ITALIA SpA;035744022;ABT;;;;;;;;;;;;;;;;;
Acido pamidronico;ACIDO PAMIDRONICO 15MG 5ML 4 UNITA' USO PARENTERALE;PAMIDRONATO DISODICO*4 flaconi 5 ml 15 mg/5 ml;185,10;84,13;-;HIKMA ITALIA SpA;035744010;ABQ;;;;;;;;;;;;;;;;;
Acido pamidronico;ACIDO PAMIDRONICO 90MG 10ML 1 UNITA' USO PARENTERALE;PAMIDRONATO*EV 1 flacone polv 90 mg + 1 flacone solv 10 ml;150,97;91,48;-;BIOINDUSTRIA L.I.M. SpA;036868040;ABW;;;;;;;;;;;;;;;;;
Acido pamidronico;ACIDO PAMIDRONICO 60MG 10ML 1 UNITA' USO PARENTERALE;TEXPAMI*1 flacone EV 60 mg/10 ml;99,28;60,15;-;PHARMATEX ITALIA Srl;036645036;ABU;;;;;;;;;;;;;;;;;
Acido pamidronico;ACIDO PAMIDRONICO 90MG 10ML 1 UNITA' USO PARENTERALE;TEXPAMI*1 flacone EV 90 mg/10 ml;150,72;91,32;-;PHARMATEX ITALIA Srl;036645048;ABW;;;;;;;;;;;;;;;;;
Acido pamidronico;ACIDO PAMIDRONICO 30MG 10ML 2 UNITA' USO PARENTERALE;TEXPAMI*2 flaconi EV 30 mg/10 ml;102,89;62,34;-;PHARMATEX ITALIA Srl;036645024;ABT;;;;;;;;;;;;;;;;;
Acido pamidronico;ACIDO PAMIDRONICO 15MG 5ML 4 UNITA' USO PARENTERALE;TEXPAMI*4 flaconi EV 15 mg/5 ml;101,08;61,25;-;PHARMATEX ITALIA Srl;036645012;ABQ;;;;;;;;;;;;;;;;;
Acido para-aminosalicilico;ACIDO PARA-AMINOSALICILICO 4G 30 UNITA' USO ORALE;GRANUPAS*orale grat gastrores 30 bust 4 g;558,56;338,44;-;EUROCEPT INTERNATIONAL B.V.;043376019;CUP;;;;;;;;;;;;;;;;;
Acido zoledronico;ACIDO ZOLEDRONICO 4MG 5ML 1 UNITA' + SOLV USO PARENTERALE;ACIDO ZOLEDRONICO*1 flaconcino EV 4 mg + 1 fiala solv 5 ml;134,49;81,49;-;IBIGEN Srl;041518022;ACC;;;;;;;;;;;;;;;;;
Acido zoledronico;ACIDO ZOLEDRONICO 4MG 5ML 1 UNITA' USO PARENTERALE;ACIDO ZOLEDRONICO*1 flaconcino soluz concentr infus 4 mg 5 ml;134,49;81,49;-;FRESENIUS KABI ITALIA Srl;042277018;ACD;;;;;;;;;;;;;;;;;
Acido zoledronico;ACIDO ZOLEDRONICO 4MG 5ML 1 UNITA' USO PARENTERALE;ACIDO ZOLEDRONICO*1 flaconcino soluz concentr infus 4 mg 5 ml;134,49;81,49;-;MEDAC GMBH;042333017;ACD;;;;;;;;;;;;;;;;;
Acido zoledronico;ACIDO ZOLEDRONICO 4MG 5ML 1 UNITA' USO PARENTERALE;ACIDO ZOLEDRONICO*1 flaconcino soluz concentr infus 4 mg 5 ml;134,49;81,49;-;MYLAN Sas;042342016;ACD;;;;;;;;;;;;;;;;;
Acido zoledronico;ACIDO ZOLEDRONICO 4MG 5ML 1 UNITA' USO PARENTERALE;ACIDO ZOLEDRONICO*1 flaconcino soluz concentr infus 4 mg 5 ml;134,49;81,49;-;TILLOMED ITALIA Srl;044733018;ACD;;;;;;;;;;;;;;;;;
Acido zoledronico;ACIDO ZOLEDRONICO 4MG 100ML 1 UNITA' USO PARENTERALE;ACIDO ZOLEDRONICO*1 flacone soluz concentr infus 4 mg 100 ml;190,62;115,49;-;MEDAC GMBH;042333043;ABZ;;;;;;;;;;;;;;;;;
Acido zoledronico;ACIDO ZOLEDRONICO 4MG 5ML 10 UNITA' USO PARENTERALE;ACIDO ZOLEDRONICO*10 flaconcini soluz concentr infus 4 mg 5 ml;1.270,24;769,65; - ;HIKMA FARMACEUTICA S.A.;041330022;CAW;;;;;;;;;;;;;;;;;
Acido zoledronico;ACIDO ZOLEDRONICO 4MG 5ML 10 UNITA' USO PARENTERALE;ACIDO ZOLEDRONICO*10 flaconcini soluz infus 4 mg 5 ml;699,98;424,18;-;ACCORD HEALTHCARE SLU;043198035;CAW;;;;;;;;;;;;;;;;;
Acido zoledronico;ACIDO ZOLEDRONICO 5MG 100ML 1 UNITA' USO PARENTERALE;ACLASTA*1 flaconcino EV 0,05 mg/ml 100 ml;529,49;320,82;-;NOVARTIS EUROPHARM LTD;037105018;ACE;;;;;;;;;;;;;;;;;
Adalimumab;ADALIMUMAB 20MG 0,4ML 1 UNITA' USO PARENTERALE;AMGEVITA*1 siringa preriempita SC 0,4 ml 20 mg;318,32;192,87;-;AMGEN EUROPE B.V.;045317017;KPG;;;;;;;;;;;;;;;;;
Adalimumab;ADALIMUMAB 40MG 2 UNITA' USO PARENTERALE;AMGEVITA*2 penne preriempite sureclick SC 0,8 ml 40 mg;1.273,29;771,50;-;AMGEN EUROPE B.V.;045317070;ACG;;;;;;;;;;;;;;;;;
Adalimumab;ADALIMUMAB 40MG 2 UNITA' USO PARENTERALE;AMGEVITA*2 siringhe preriempite SC 0,8 ml 40 mg;1.273,29;771,50;-;AMGEN EUROPE B.V.;045317031;ACG;;;;;;;;;;;;;;;;;
Adalimumab;ADALIMUMAB 80MG 0,8ML 1 UNITA' USO PARENTERALE;HUMIRA*1 penna preriemp 0,8 ml 80 mg + 2 tamponi;1.591,60;964,37;-;ABBVIE DEUTSCHLAND GmbH&CO.KG;035946209;KGC;;;;;;;;;;;;;;;;;
Adalimumab;ADALIMUMAB 80MG 0,8ML 1 UNITA' USO PARENTERALE;HUMIRA*1 siringa preriemp 0,8 ml 80 mg + 1 tampone;1.591,60;964,37;-;ABBVIE DEUTSCHLAND GmbH&CO.KG;035946197;KGC;;;;;;;;;;;;;;;;;
Adalimumab;ADALIMUMAB BB 40MG 2 UNITA' USO PARENTERALE;HUMIRA*2 flaconcini SC 40 mg 0,8 ml + 2 siringhe + 2 aghi sterili + 2 adattatori + 2 tamponi uso pediatrico;1.591,60;964,37;-;ABBVIE DEUTSCHLAND GmbH&CO.KG;035946019;BVG;;;;;;;;;;;;;;;;;
Adalimumab;ADALIMUMAB 40MG 2 UNITA' USO PARENTERALE;HUMIRA*2 penne preriemp 0,4 ml 40 mg + 2 tamponi;1.591,60;964,37;-;ABBVIE DEUTSCHLAND GmbH&CO.KG;035946161;ACG;;;;;;;;;;;;;;;;;
Adalimumab;ADALIMUMAB BB 20MG 0,2ML 2 UNITA' USO PARENTERALE;HUMIRA*2 siringhe SC 20 mg 0,2 ml + 2 tamponi;795,81;482,19;-;ABBVIE DEUTSCHLAND GmbH&CO.KG;035946211;KPU;;;;;;;;;;;;;;;;;
Adalimumab;ADALIMUMAB BB 40MG 2 UNITA' USO PARENTERALE;HUMIRA*2 siringhe SC 40 mg 0,4 ml + 2 tamponi;1.591,60;964,37;-;ABBVIE DEUTSCHLAND GmbH&CO.KG;035946122;BVG;;;;;;;;;;;;;;;;;
Adalimumab;ADALIMUMAB 40MG 4 UNITA' USO PARENTERALE;HUMIRA*4 penne preriemp 0,4 ml 40 mg + 4 tamponi;3.183,21;1.928,75;-;ABBVIE DEUTSCHLAND GmbH&CO.KG;035946173;ACH;;;;;;;;;;;;;;;;;
Adalimumab;ADALIMUMAB 40MG 4 UNITA' USO PARENTERALE;HUMIRA*4 siringhe SC 40 mg 0,4 ml + 4 tamponi;3.183,21;1.928,75;-;ABBVIE DEUTSCHLAND GmbH&CO.KG;035946134;ACH;;;;;;;;;;;;;;;;;
Adalimumab;ADALIMUMAB 40MG 2 UNITA' USO PARENTERALE;HYRIMOZ*2 penne preriemp SC 0,8 ml 40 mg;1.130,03;684,71;-;SANDOZ GMBH;046889059;ACG;;;;;;;;;;;;;;;;;
Adalimumab;ADALIMUMAB 20MG 0,4ML 1 UNITA' USO PARENTERALE;HYRIMOZ*2 siringhe preriempite SC 0,4 ml 20 mg con dispositivo di sicurezza dell'ago;565,02;342,35;-;SANDOZ GMBH;046889073;KPG;;;;;;;;;;;;;;;;;
Adalimumab;ADALIMUMAB 40MG 2 UNITA' USO PARENTERALE;HYRIMOZ*2 siringhe preriempite SC 0,8 ml 40 mg;1.130,03;684,71;-;SANDOZ GMBH;046889022;ACG;;;;;;;;;;;;;;;;;
Adalimumab;ADALIMUMAB BB 40MG 1 UNITA' USO PARENTERALE;IDACIO*1 flaconcino SC 0,8 ml 40 mg + 1 siringa + 1 ago + 1 adattatore + 2 tamponi;565,02;342,35;-;FRESENIUS KABI DEUTSCH.GMBH;047805015;LDC;;;;;;;;;;;;;;;;;
Adalimumab;ADALIMUMAB 40MG 2 UNITA' USO PARENTERALE;IDACIO*2 penne preriempite 0,8 ml 40 mg + 2 tamponi imbevuti di alcool;1.130,04;684,71;-;FRESENIUS KABI DEUTSCH.GMBH;047805039;ACG;;;;;;;;;;;;;;;;;
Adalimumab;ADALIMUMAB 40MG 2 UNITA' USO PARENTERALE;IDACIO*2 siringhe 0,8 ml 40 mg + 2 tamponi imbevuti di alcool;1.130,04;684,71;-;FRESENIUS KABI DEUTSCH.GMBH;047805027;ACG;;;;;;;;;;;;;;;;;
Adalimumab;ADALIMUMAB 40MG 2 UNITA' USO PARENTERALE;IMRALDI*2 penne preriempite 0,8 ml 40 mg;1.130,03;684,71;-;SAMSUNG BIOEPIS NL B.V.;045616063;ACG;;;;;;;;;;;;;;;;;
Adalimumab;ADALIMUMAB 40MG 2 UNITA' USO PARENTERALE;IMRALDI*2 siringhe preriempite 0,8 ml 40 mg;1.130,03;684,71;-;SAMSUNG BIOEPIS NL B.V.;045616024;ACG;;;;;;;;;;;;;;;;;
Adrenalina;ADRENALINA 150MCG 0,30ML 1 UNITA' USO PARENTERALE;CHENPEN*1 siringa preriempita 150 mcg/0,3 ml;62,13;37,65;-;BIOPROJET PHARMA;040864011;ACI;;;;;;;;;;;;;;;;;
Adrenalina;ADRENALINA 300MCG 0,30ML 1 UNITA' USO PARENTERALE;CHENPEN*1 siringa preriempita 300 mcg/0,3 ml;62,13;37,65;-;BIOPROJET PHARMA;040864023;ACL;;;;;;;;;;;;;;;;;
ADRENALINA;ADRENALINA 500 MCG 0,3ML 1 UNITA' USO PARENTERALE;CHENPEN*1 siringa preriempita 500 mcg/0,3 ml;62,13;37,64;-;BIOPROJET PHARMA;040864050;LFW;;;;;;;;;;;;;;;;;
Adrenalina;ADRENALINA 150MCG 0,30ML 1 UNITA' USO PARENTERALE;FASTJEKT*1 penna preriempita 150 mcg;77,90;47,20;-;MEDA PHARMA SpA;042416014;ACI;;;;;;;;;;;;;;;;;
Adrenalina;ADRENALINA 300MCG 0,30ML 1 UNITA' USO PARENTERALE;FASTJEKT*1 penna preriempita 300 mcg;77,90;47,20;-;MEDA PHARMA SpA;042416038;ACL;;;;;;;;;;;;;;;;;
Adrenalina;ADRENALINA 150MCG 0,15ML 1 UNITA' USO PARENTERALE;JEXT*1 penna IM 150 mcg;74,01;44,84;-;ALK-ABELLO' A/S;040585022;JVO;;;;;;;;;;;;;;;;;
Adrenalina;ADRENALINA 300MCG 0,30ML 1 UNITA' USO PARENTERALE;JEXT*1 penna IM 300 mcg;74,01;44,84;-;ALK-ABELLO' A/S;040585010;ACL;;;;;;;;;;;;;;;;;
Adrenalina;ADRENALINA 150MCG 0,15ML 2 UNITA' USO PARENTERALE;JEXT*2 penne IM 150 mcg;133,19;80,70;-;ALK-ABELLO' A/S;040585034;JVK;;;;;;;;;;;;;;;;;
Adrenalina;ADRENALINA 300MCG 0,30ML 2 UNITA' USO PARENTERALE;JEXT*2 penne IM 300 mcg;133,19;80,70;-;ALK-ABELLO' A/S;040585046;JVJ;;;;;;;;;;;;;;;;;
Afatinib;AFATINIB 20MG 28 UNITA' USO ORALE;GIOTRIF*28 cpr riv 20 mg;3.373,98;2.044,34;-;BOEHRINGER INGELHEIM INT.GMBH;043023035;JAK;;;;;;;;;;;;;;;;;
Afatinib;AFATINIB 30MG 28 UNITA' USO ORALE;GIOTRIF*28 cpr riv 30 mg;3.373,98;2.044,34;-;BOEHRINGER INGELHEIM INT.GMBH;043023062;JAL;;;;;;;;;;;;;;;;;
Afatinib;AFATINIB 40MG 28 UNITA' USO ORALE;GIOTRIF*28 cpr riv 40 mg;3.373,98;2.044,34;-;BOEHRINGER INGELHEIM INT.GMBH;043023098;JAM;;;;;;;;;;;;;;;;;
Afatinib;AFATINIB 50MG 28 UNITA' USO ORALE;GIOTRIF*28 cpr riv 50 mg;3.373,98;2.044,34;-;BOEHRINGER INGELHEIM INT.GMBH;043023124;JAN;;;;;;;;;;;;;;;;;
Aflibercept;AFLIBERCEPT 3,6MG 40MG/ML 1 UNITA' USO INTRAVITREALE;EYLEA*1 flaconcino intravitreale 3,6 mg 40 mg/ml;1.102,23;667,85;-;BAYER AG;042510026;CDY;;;;;;;;;;;;;;;;;
Aflibercept;AFLIBERCEPT 3,6MG 40MG/ML 1 UNITA' USO INTRAVITREALE;EYLEA*1 siringa preriempita uso intravitreale 40 mg/ml;1.102,23;667,85;-;BAYER AG;042510014;CDY;;;;;;;;;;;;;;;;;
Aflibercept;AFLIBERCEPT 100MG 4ML 25MG/ML 1 UNITA' USO PARENTERALE;ZALTRAP*1 flacone EV 4 ml 100 mg 25 mg/ml;625,58;379,05;-;SANOFI-AVENTIS GROUPE;042689012;GPA;;;;;;;;;;;;;;;;;
Aflibercept;AFLIBERCEPT 200MG 8ML 25MG/ML 1 UNITA' USO PARENTERALE;ZALTRAP*1 flacone EV 8 ml 200 mg 25 mg/ml;1.251,17;758,10;-;SANOFI-AVENTIS GROUPE;042689036;GPB;;;;;;;;;;;;;;;;;
Agalsidasi Alfa;AGALSIDASI ALFA 3,5MG 3,5ML 1 UNITA' USO PARENTERALE;REPLAGAL*1 flacone EV 1 mg/ml 3,5 ml;2.539,69;1.538,84;-;SHIRE HUMAN GENETIC THERAP.AB;035373012;ACO;;;;;;;;;;;;;;;;;
Agalsidasi Beta;AGALSIDASI BETA 35MG 1 UNITA' USO PARENTERALE;FABRAZYME*1 flaconcino EV 35 mg;5.079,38;3.077,67;-;GENZYME EUROPE B.V.;035275015;ACP;;;;;;;;;;;;;;;;;
Aldesleuchina;ALDESLEUCHINA 18.000.000UI 1 UNITA' USO PARENTERALE;PROLEUKIN*1 fiala EV 18.000.000 UI/ml;231,57;140,32;-;CLINIGEN HEALTHCARE B.V.;027131010;ACT;;;;;;;;;;;;;;;;;
Alectinib;ALECTINIB 150MG 224 UNITA' USO ORALE;ALECENSA*56x4 cps 150 mg;10.661,58;6.460,00;-;ROCHE REGISTRATION GMBH;045267010;KHU;;;;;;;;;;;;;;;;;
Alemtuzumab;ALEMTUZUMAB 12MG 1,2ML 1 UNITA' USO PARENTERALE;LEMTRADA*EV 12 mg 1,2 ml 1 flaconcino;13.126,09;7.953,29;-;SANOFI BELGIUM;043027010;CKY;;;;;;;;;;;;;;;;;
Alfa 1 Antitripsina Umana;ALFA 1 ANTITRIPSINA UMANA 1.000MG 40ML 1 UNITA' USO PARENTERALE;PROLASTIN*1 fiala EV 1 g + 1 fiala solv 40 ml;528,13;320,00;-;INSTITUTO GRIFOLS S.A.;037709019;ACW;;;;;;;;;;;;;;;;;
Alfa 1 Antitripsina Umana;ALFA 1 ANTITRIPSINA UMANA 1.000MG 20ML 1 UNITA' USO PARENTERALE;RESPREEZA*1 flaconcino EV 1 g + 1 flaconcino solv 20 ml + 1 dispositivo di trasferimento;528,13;320,00;-;CSL BEHRING GmbH;044479018;CCS;;;;;;;;;;;;;;;;;
Alglucosidasi Alfa;ALGLUCOSIDASI ALFA 50MG 20ML 1 UNITA' USO PARENTERALE;MYOZYME*1 flaconcino 50 mg + 1 fiala 20 ml;819,22;496,38;-;GENZYME EUROPE B.V.;037174012;ACX;;;;;;;;;;;;;;;;;
Alitretinoina;ALITRETINOINA 10MG 30 UNITA' USO ORALE;ALITRECARE*30 cps molli 10 mg;493,330;224,240;-;DIFA COOPER SpA;047411018;ACY;;;;;;;;;;;;;;;;;
Alitretinoina;ALITRETINOINA 30MG 30 UNITA' USO ORALE;ALITRECARE*30 cps molli 30 mg;493,330;224,240;-;DIFA COOPER SpA;047411020;ACZ;;;;;;;;;;;;;;;;;
Alitretinoina;ALITRETINOINA 10MG 30 UNITA' USO ORALE;TOCTINO*30 cps molli 10 mg;616,65;373,64;-;STIEFEL LAB.LEGACY (IRLANDA);038849016;ACY;;;;;;;;;;;;;;;;;
Alitretinoina;ALITRETINOINA 30MG 30 UNITA' USO ORALE;TOCTINO*30 cps molli 30 mg;616,65;373,64;-;STIEFEL LAB.LEGACY (IRLANDA);038849030;ACZ;;;;;;;;;;;;;;;;;
Aloperidolo;ALOPERIDOLO 10MG 20 UNITA' USO ORALE;SERENASE*20 cpr 10 mg;4,80;2,18;-;IST.LUSOFARMACO D'ITALIA SpA;016805057;ADG;;;;;;;;;;;;;;;;;
Alprostadil;ALPROSTADIL 20MCG 1 UNITA' USO PARENTERALE;ALPROSTAR*1 fiala EV EA 20 mcg;14,44;6,56;-;RECORDATI SpA;027666015;ADH;;;;;;;;;;;;;;;;;
Alprostadil;ALPROSTADIL 60MCG 1 UNITA' USO PARENTERALE;ALPROSTAR*1 fiala EV EA 60 mcg;31,97;19,37;-;RECORDATI SpA;027666039;ADJ;;;;;;;;;;;;;;;;;
Alprostadil;ALPROSTADIL 500MCG 1ML 1 UNITA' USO PARENTERALE;PROSTIN VR*1 fiala EV 500 mcg 1 ml;66,97;30,44;-;PFIZER ITALIA Srl;026381020;ADI;;;;;;;;;;;;;;;;;
Alteplasi;ALTEPLASI 20MG 20ML 1 UNITA' USO PARENTERALE;ACTILYSE*1 flaconcino EV 20 mg + 1 flaconcino solv 20 ml;362,65;164,84;-;BOEHRINGER INGELHEIM IT.SpA;026533051;ADK;;;;;;;;;;;;;;;;;
