Acamprosato;ACAMPROSATO 333MG 84 UNITA' USO ORALE;CAMPRAL*84 cpr riv gastrores 333 mg;33,77;BRUNO FARMACEUTICI SpA;034208013;H0A;;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;ASTON*4 cpr riv 70 mg;13,48;S.F. GROUP Srl;037444015;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' EFFERVESCENTI USO ORALE;BINOSTO*4 cpr eff 70 mg;16,18;ABIOGEN PHARMA SpA;040246011;JBX;;;
Acido alendronico;ACIDO ALENDRONICO 70MG 100ML 4 UNITA' USO ORALE;BONASOL*orale soluz 4 flaconi 70 mg 100 ml;16,18;BRUNO FARMACEUTICI SpA;040622033;CQC;;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;DORYX*4 cpr 70 mg;13,48;S.F. GROUP Srl;037644010;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 12 UNITA' USO ORALE;DRALENOS*12 cpr 70 mg;28,20;I.B.N. SAVIO Srl;038031163;CQD;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;FOSAMAX*4 cpr 70 mg;20,07;MSD ITALIA Srl;029052077;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 10MG 14 UNITA' USO ORALE;GENALEN*14 cpr 10 mg;17,22;NEOPHARMED GENTILI SpA;034172015;CQB;;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;GENALEN*4 cpr 70 mg;17,98;NEOPHARMED GENTILI SpA;034172054;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;GLAMOR*4 cpr riv 70 mg;13,48;AGIPS FARMACEUTICI Srl;037500016;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;LOSS*4 cpr riv 70 mg;13,48;SO.SE.PHARM Srl;038296012;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;NEADRALE*4 cpr 70 mg;13,48;GENETIC SpA;038649012;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;NOFRATTIL*4 cpr riv 70 mg;13,48;S.F. GROUP Srl;038297014;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;OSTEUM*4 cpr 70 mg;13,48;PHARMACARE Srl;037085089;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 12 UNITA' USO ORALE;PORODRON*12 cpr 70 mg;28,07;DYMALIFE PHARMACEUTICAL Srl;037519028;CQD;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;PORODRON*4 cpr 70 mg;13,49;DYMALIFE PHARMACEUTICAL Srl;037519016;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;REALEN*4 cpr riv 70 mg;13,48;IST.CHIM.INTERNAZ. RENDE Srl;037461011;CQA;X;;
Acido alendronico/Colecalciferolo;ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 2.800UI 4 UNITA' USO ORALE;ACIDO ALENDRONICO E COLECALCIFEROLO*4 cpr 70 mg + 2.800 UI;11,23;AUROBINDO PHARMA ITALIA Srl;044670014;H6A;X;;
Acido alendronico/Colecalciferolo;ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 2.800UI 4 UNITA' USO ORALE;ACIDO ALENDRONICO E COLECALCIFEROLO*4 cpr 70 mg + 2.800 UI;11,23;EG SpA;044731014;H6A;X;;
Acido alendronico/Colecalciferolo;ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 2.800UI 4 UNITA' USO ORALE;ACIDO ALENDRONICO E COLECALCIFEROLO*4 cpr 70 mg + 2.800 UI;11,23;ZENTIVA ITALIA Srl;044520029;H6A;X;;
Acido alendronico/Colecalciferolo;ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 5.600UI 4 UNITA' USO ORALE;ACIDO ALENDRONICO E COLECALCIFEROLO*4 cpr 70 mg + 5.600 UI;13,60;AUROBINDO PHARMA ITALIA Srl;044670026;H6B;X;;
Acido alendronico/Colecalciferolo;ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 5.600UI 4 UNITA' USO ORALE;ACIDO ALENDRONICO E COLECALCIFEROLO*4 cpr 70 mg + 5.600 UI;13,60;EG SpA;044731038;H6B;X;;
Acido alendronico/Colecalciferolo;ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 5.600UI 4 UNITA' USO ORALE;ACIDO ALENDRONICO E COLECALCIFEROLO*4 cpr 70 mg + 5.600 UI;13,60;ZENTIVA ITALIA Srl;044520056;H6B;X;;
Acido alendronico/Colecalciferolo;ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 2.800UI 4 UNITA' USO ORALE;ADROVANCE*4 cpr 70 mg + 2.800 UI;18,65;ORGANON N.V.;037603026;H6A;X;;
Acido alendronico/Colecalciferolo;ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 5.600UI 4 UNITA' USO ORALE;ADROVANCE*4 cpr 70 mg + 5.600 UI;17,10;ORGANON N.V.;037603077;H6B;X;;
Acido alendronico/Colecalciferolo;ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 2.800UI 4 UNITA' USO ORALE;ALENDRONATO E COLECALCIFEROLO*4 cpr 70 mg + 2.800 UI;11,23;ARISTO PHARMA GMBH;044579011;H6A;X;;
Acido alendronico/Colecalciferolo;ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 2.800UI 4 UNITA' USO ORALE;ALENDRONATO E COLECALCIFEROLO*4 cpr 70 mg + 2.800 UI;11,23;DOC GENERICI Srl;045284015;H6A;X;;
Acido alendronico/Colecalciferolo;ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 2.800UI 4 UNITA' USO ORALE;ALENDRONATO E COLECALCIFEROLO*4 cpr 70 mg + 2.800 UI;11,23;MYLAN SpA;044986014;H6A;X;;
Acido alendronico/Colecalciferolo;ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 2.800UI 4 UNITA' USO ORALE;ALENDRONATO E COLECALCIFEROLO*4 cpr 70 mg + 2.800 UI confezione calendario;11,23;TEVA ITALIA Srl;044405037;H6A;X;;
Acido alendronico/Colecalciferolo;ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 2.800UI 4 UNITA' USO ORALE;ALENDRONATO E COLECALCIFEROLO*4 cpr 70 mg + 2800 UI;11,23;ACCORD HEALTHCARE SLU;046006019;H6A;X;;
Acido alendronico/colecalciferolo;ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 5.600UI 4 UNITA' USO ORALE;ALENDRONATO E COLECALCIFEROLO*4 cpr 70 mg + 5.600 UI;13,60;ARISTO PHARMA GMBH;044579035;H6B;X;;
Acido alendronico/Colecalciferolo;ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 5.600UI 4 UNITA' USO ORALE;ALENDRONATO E COLECALCIFEROLO*4 cpr 70 mg + 5.600 UI;13,60;DOC GENERICI Srl;045284027;H6B;X;;
Acido alendronico/Colecalciferolo;ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 5.600UI 4 UNITA' USO ORALE;ALENDRONATO E COLECALCIFEROLO*4 cpr 70 mg + 5.600 UI;13,60;MYLAN SpA;044986026;H6B;X;;
Acido alendronico/Colecalciferolo;ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 5.600UI 4 UNITA' USO ORALE;ALENDRONATO E COLECALCIFEROLO*4 cpr 70 mg + 5.600 UI;13,60;SANDOZ SpA;044440028;H6B;X;;
Acido alendronico/Colecalciferolo;ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 5.600UI 4 UNITA' USO ORALE;ALENDRONATO E COLECALCIFEROLO*4 cpr 70 mg + 5.600 UI confezione calendario;13,60;TEVA ITALIA Srl;044405114;H6B;X;;
